Price,Rating,Size,Season,Recommendation
low,5.0,free,spring,1
medium,5.0,m,winter,1
medium,4.0,free,summer,0
low,4.0,m,winter,0
medium,4.0,s,spring,1
medium,4.0,l,autumn,0
low,4.0,m,autumn,0
low,5.0,free,summer,1
low,5.0,l,winter,0
medium,5.0,m,spring,1
medium,5.0,s,spring,1
low,5.0,free,summer,1
medium,5.0,s,winter,0
low,4.0,free,summer,0
medium,5.0,m,autumn,1
medium,5.0,free,summer,0
low,5.0,m,autumn,1
medium,5.0,free,winter,0
medium,5.0,m,winter,0
low,5.0,s,spring,0
low,5.0,free,spring,1
medium,5.0,m,autumn,0
medium,5.0,m,spring,1
low,5.0,free,winter,1
medium,5.0,l,summer,0
medium,5.0,m,winter,1
medium,5.0,m,winter,0
medium,5.0,m,winter,0
medium,4.0,m,winter,0
medium,5.0,m,winter,1
low,5.0,m,summer,0
medium,5.0,l,spring,1
low,4.0,free,summer,0
medium,5.0,m,summer,0
low,4.0,m,winter,0
low,5.0,s,summer,0
very-high,5.0,m,spring,1
medium,5.0,m,autumn,1
low,4.0,m,winter,1
medium,5.0,m,winter,1
high,5.0,m,winter,0
medium,5.0,free,winter,1
medium,4.0,l,summer,1
very-high,5.0,m,spring,1
high,5.0,m,winter,0
medium,5.0,m,spring,1
very-high,5.0,l,spring,1
high,5.0,l,spring,0
medium,5.0,l,summer,1
medium,5.0,s,winter,0
very-high,5.0,m,spring,1
medium,5.0,s,spring,1
very-high,4.0,l,winter,1
low,4.0,free,summer,1
very-high,4.0,m,winter,1
high,5.0,m,summer,1
medium,5.0,free,winter,0
very-high,5.0,l,winter,1
very-high,4.0,m,spring,1
medium,5.0,free,spring,1
high,5.0,m,summer,1
high,5.0,m,summer,1
medium,5.0,m,winter,1
medium,4.0,free,spring,1
medium,5.0,m,spring,1
very-high,5.0,free,spring,1
medium,5.0,m,spring,1
very-high,5.0,l,spring,1
medium,5.0,free,winter,0
very-high,5.0,m,spring,1
high,5.0,free,summer,1
medium,5.0,m,spring,1
medium,4.0,free,summer,1
very-high,5.0,m,winter,1
low,4.0,free,winter,1
high,4.0,m,winter,1
medium,5.0,free,summer,0
medium,5.0,m,summer,0
medium,5.0,free,summer,0
medium,5.0,s,summer,0
medium,5.0,m,summer,0
low,5.0,l,spring,0
medium,5.0,l,autumn,0
low,5.0,free,spring,1
medium,4.0,s,winter,0
low,4.0,free,summer,0
medium,4.0,m,summer,0
medium,5.0,free,winter,1
low,5.0,free,spring,0
medium,5.0,m,summer,1
medium,5.0,l,winter,0
medium,4.0,m,summer,0
medium,4.0,m,winter,1
low,5.0,free,spring,1
medium,5.0,l,winter,0
low,5.0,m,winter,0
low,5.0,free,spring,1
low,5.0,free,spring,0
low,5.0,m,spring,1
medium,4.0,m,summer,0
low,5.0,free,spring,0
low,5.0,free,summer,0
low,4.0,m,winter,0
medium,4.0,m,winter,0
low,5.0,s,summer,0
low,4.0,free,spring,0
medium,5.0,m,winter,0
medium,5.0,free,spring,1
low,5.0,free,spring,0
low,5.0,m,winter,1
medium,5.0,m,spring,0
low,5.0,l,summer,1
medium,4.0,m,spring,1
medium,5.0,xl,winter,0
medium,5.0,m,autumn,0
low,5.0,free,winter,1
low,5.0,l,summer,0
medium,5.0,free,summer,0
low,5.0,free,summer,1
medium,5.0,m,summer,0
low,4.0,free,summer,0
low,4.0,free,summer,0
low,5.0,free,summer,0
low,5.0,free,summer,1
low,5.0,s,winter,0
medium,4.0,s,winter,0
medium,5.0,m,summer,0
medium,4.0,l,winter,1
medium,4.0,m,winter,1
medium,5.0,free,winter,0
medium,5.0,free,winter,0
medium,5.0,s,winter,0
medium,5.0,l,winter,0
medium,5.0,m,summer,0
medium,5.0,free,summer,0
low,5.0,m,winter,0
medium,5.0,s,spring,0
low,1.0,m,spring,0
medium,4.0,free,summer,1
low,4.0,free,summer,0
medium,5.0,m,spring,1
medium,5.0,free,spring,1
low,5.0,m,spring,0
medium,5.0,m,autumn,1
low,5.0,free,winter,0
medium,4.0,l,summer,0
medium,5.0,m,autumn,0
low,5.0,free,autumn,1
low,5.0,l,summer,1
medium,4.0,free,winter,0
low,5.0,free,summer,1
medium,4.0,free,summer,0
low,5.0,m,summer,0
medium,5.0,m,spring,0
low,5.0,free,winter,0
medium,4.0,l,winter,1
medium,4.0,free,summer,0
low,4.0,l,summer,0
medium,5.0,free,winter,0
low,5.0,m,winter,0
medium,5.0,m,winter,0
medium,5.0,s,summer,0
medium,5.0,free,summer,0
medium,3.0,m,spring,0
low,5.0,l,autumn,1
medium,4.0,m,autumn,0
low,5.0,free,summer,1
low,5.0,free,winter,0
medium,5.0,m,summer,0
low,5.0,l,summer,1
medium,5.0,m,spring,0
medium,5.0,m,summer,1
low,5.0,free,summer,0
very-high,5.0,free,summer,0
low,5.0,m,spring,1
medium,5.0,l,winter,0
medium,4.0,free,summer,1
medium,5.0,m,summer,0
low,5.0,xl,spring,1
medium,5.0,m,summer,0
low,4.0,free,autumn,0
medium,5.0,xl,spring,0
medium,5.0,xl,summer,1
medium,5.0,m,summer,0
medium,5.0,l,spring,0
medium,5.0,m,spring,0
low,4.0,free,summer,0
low,5.0,free,winter,1
low,5.0,free,autumn,1
low,4.0,free,summer,1
low,5.0,free,spring,1
low,5.0,free,autumn,0
high,5.0,m,summer,0
medium,5.0,l,summer,0
medium,5.0,s,summer,1
medium,5.0,m,autumn,0
low,4.0,free,spring,1
low,5.0,s,autumn,0
medium,5.0,l,autumn,0
medium,4.0,l,winter,1
medium,4.0,free,summer,0
low,5.0,l,summer,0
medium,5.0,m,summer,1
medium,5.0,free,summer,0
low,5.0,free,spring,0
medium,4.0,m,summer,0
medium,4.0,l,spring,1
medium,4.0,free,autumn,1
medium,5.0,m,winter,1
medium,5.0,m,summer,0
low,4.0,l,summer,0
medium,4.0,m,winter,0
medium,5.0,l,summer,0
low,4.0,free,summer,0
high,4.0,m,spring,1
medium,5.0,m,winter,0
medium,5.0,m,spring,0
high,5.0,xl,winter,0
medium,5.0,m,autumn,0
low,4.0,free,summer,0
medium,5.0,m,spring,1
medium,5.0,m,winter,1
low,4.0,free,summer,1
low,5.0,m,autumn,1
low,4.0,m,summer,0
low,5.0,free,winter,0
medium,5.0,l,summer,1
medium,5.0,m,spring,0
low,5.0,free,summer,1
medium,5.0,m,winter,0
low,5.0,m,spring,1
low,4.0,free,summer,0
medium,5.0,m,summer,1
medium,5.0,l,winter,1
low,4.0,free,summer,0
